,id,iso_code,country,size,un_region,x,y,type,country_source,country_target,path
172,3,,,,Americas,370.7356072551333,609.4133664700654,edge,Mexico,UK,2
173,3,,,,Americas,370.6271164728844,607.449514519235,edge,Mexico,UK,3
174,3,,,,Americas,370.4943032864448,605.4476198640682,edge,Mexico,UK,4
175,3,,,,Americas,370.3371588073898,603.4048858564242,edge,Mexico,UK,5
176,3,,,,Americas,370.15574271514316,601.3188900779054,edge,Mexico,UK,6
177,3,,,,Americas,369.9501832569763,599.1875843398584,edge,Mexico,UK,7
178,3,,,,Americas,369.72067724800917,597.0092946833723,edge,Mexico,UK,8
179,3,,,,Americas,369.46749007120974,594.7827213792809,edge,Mexico,UK,9
180,3,,,,Americas,369.1909556773946,592.5069389281606,edge,Mexico,UK,10
181,3,,,,Americas,368.8914765852281,590.1813960603323,edge,Mexico,UK,11
182,3,,,,Americas,368.56952388122323,587.8059157358596,edge,Mexico,UK,12
183,3,,,,Americas,368.225637219741,585.3806951445505,edge,Mexico,UK,13
184,3,,,,Americas,367.8604248229904,582.9063057059559,edge,Mexico,UK,14
185,3,,,,Americas,367.47456348102924,580.3836930693708,edge,Mexico,UK,15
186,3,,,,Americas,367.06879855176277,577.8141771138328,edge,Mexico,UK,16
187,3,,,,Americas,366.6439439609452,575.1994519481245,edge,Mexico,UK,17
188,3,,,,Americas,366.2008822021783,572.5415859107712,edge,Mexico,UK,18
189,3,,,,Americas,365.740564336913,569.8430215700421,edge,Mexico,UK,19
190,3,,,,Americas,365.2640099944473,567.1065757239495,edge,Mexico,UK,20
191,3,,,,Americas,364.77230737192826,564.3354394002498,edge,Mexico,UK,21
192,3,,,,Americas,364.26661323435104,561.533177856443,edge,Mexico,UK,22
193,3,,,,Americas,363.74815291455855,558.7037305797719,edge,Mexico,UK,23
194,3,,,,Americas,363.2182203132424,555.851411287224,edge,Mexico,UK,24
195,3,,,,Americas,362.67817789894224,552.9809079255293,edge,Mexico,UK,25
196,3,,,,Americas,362.12945670804595,550.0972826711625,edge,Mexico,UK,26
197,3,,,,Americas,361.57355634478967,547.2059719303408,edge,Mexico,UK,27
198,3,,,,Americas,361.0120449812578,544.3127863390255,edge,Mexico,UK,28
199,3,,,,Americas,360.4465593573829,541.4239107629214,edge,Mexico,UK,29
200,3,,,,Americas,359.87880478094564,538.5459042974771,edge,Mexico,UK,30
201,3,,,,Americas,359.3105551275751,535.6857002678844,edge,Mexico,UK,31
202,3,,,,Americas,358.74365284074855,532.8506062290788,edge,Mexico,UK,32
203,3,,,,Americas,358.1800089317914,530.0483039657397,edge,Mexico,UK,33
204,3,,,,Americas,357.62160297987737,527.2868494922895,edge,Mexico,UK,34
205,3,,,,Americas,357.07048313202836,524.5746730528947,edge,Mexico,UK,35
206,3,,,,Americas,356.52876610311444,521.9205791214649,edge,Mexico,UK,36
207,3,,,,Americas,355.99863717585396,519.3337464016538,edge,Mexico,UK,37
208,3,,,,Americas,355.4823502008135,516.8237278268582,edge,Mexico,UK,38
209,3,,,,Americas,354.98222759640794,514.4004505602188,edge,Mexico,UK,39
210,3,,,,Americas,354.50066034890017,512.0742159946199,edge,Mexico,UK,40
211,3,,,,Americas,354.0401080124015,509.8556997526888,edge,Mexico,UK,41
212,3,,,,Americas,353.60309870887136,507.7559516867972,edge,Mexico,UK,42
213,3,,,,Americas,353.19222912811733,505.7863958790599,edge,Mexico,UK,43
214,3,,,,Americas,352.8101645277955,503.9588306413352,edge,Mexico,UK,44
215,3,,,,Americas,352.4596387334099,502.2854285152255,edge,Mexico,UK,45
216,3,,,,Americas,352.14345413831285,500.778736272076,edge,Mexico,UK,46
217,3,,,,Americas,351.86448170370494,499.45167491297616,edge,Mexico,UK,47
218,3,,,,Americas,351.625660958635,498.3175396687587,edge,Mexico,UK,48
219,3,,,,Americas,351.43,497.39,edge,Mexico,UK,49
220,4,,,,Americas,286.76,701.19,edge,Mexico,Japan,0
221,4,,,,Americas,283.2989146546429,701.6068795713851,edge,Mexico,Japan,1
222,4,,,,Americas,279.9351192382876,701.9485961215312,edge,Mexico,Japan,2
223,4,,,,Americas,276.65783565122194,702.2135925524576,edge,Mexico,Japan,3
224,4,,,,Americas,273.4568713057051,702.4005697594765,edge,Mexico,Japan,4
225,4,,,,Americas,270.32261912596806,702.508486631195,edge,Mexico,Japan,5
226,4,,,,Americas,267.2460575482137,702.5365600495142,edge,Mexico,Japan,6
227,4,,,,Americas,264.2187505206165,702.4842648896296,edge,Mexico,Japan,7
228,4,,,,Americas,261.2328475033223,702.3513340200296,edge,Mexico,Japan,8
229,4,,,,Americas,258.28108346844925,702.1377583024982,edge,Mexico,Japan,9
230,4,,,,Americas,255.3567789000869,701.843786592113,edge,Mexico,Japan,10
231,4,,,,Americas,252.45383979429639,701.4699257372455,edge,Mexico,Japan,11
232,4,,,,Americas,249.56675765911083,701.016940579562,edge,Mexico,Japan,12
233,4,,,,Americas,246.69060951453486,700.485853954022,edge,Mexico,Japan,13
234,4,,,,Americas,243.8210578925448,699.8779466888795,edge,Mexico,Japan,14
235,4,,,,Americas,240.95435083708884,699.1947576056833,edge,Mexico,Japan,15
236,4,,,,Americas,238.08732190408662,698.438083519275,edge,Mexico,Japan,16
237,4,,,,Americas,235.21739016142973,697.6099792377917,edge,Mexico,Japan,17
238,4,,,,Americas,232.34256018898137,696.7127575626635,edge,Mexico,Japan,18
239,4,,,,Americas,229.4614220785765,695.7489892886155,edge,Mexico,Japan,19
240,4,,,,Americas,226.5731514340217,694.7215032036664,edge,Mexico,Japan,20
241,4,,,,Americas,223.6775093710953,693.6333860891294,edge,Mexico,Japan,21
242,4,,,,Americas,220.77484251754743,692.4879827196115,edge,Mexico,Japan,22
243,4,,,,Americas,217.86608301309965,691.2888958630141,edge,Mexico,Japan,23
244,4,,,,Americas,214.9527485094455,690.0399862805325,edge,Mexico,Japan,24
