,segment,ring,x,y,path,block_id,City,Month,AvgTemperature
1524,6,10,3.31110123221915,4.63967764289684,7,339,Bilbao,10,17.338709677419356
1525,6,10,3.23183854653147,4.69523371187775,8,339,Bilbao,10,17.338709677419356
1526,6,10,3.15164390462967,4.74943582948655,9,339,Bilbao,10,17.338709677419356
1527,6,10,3.07054043201764,4.80226836561066,10,339,Bilbao,10,17.338709677419356
1528,6,10,2.98855151627622,4.85371608507987,11,339,Bilbao,10,17.338709677419356
1529,6,10,3.14584370134339,5.10917482639987,12,339,Bilbao,10,17.338709677419356
1530,6,10,3.23214782317646,5.05501933222175,13,339,Bilbao,10,17.338709677419356
1531,6,10,3.31751989961018,4.99940613630164,14,339,Bilbao,10,17.338709677419356
1532,6,10,3.40193531213839,4.94235127566079,15,339,Bilbao,10,17.338709677419356
1533,6,10,3.48536971812542,4.88387120304931,16,339,Bilbao,10,17.338709677419356
1534,6,10,3.56779905782572,4.82398278220164,17,339,Bilbao,10,17.338709677419356
1535,6,10,3.64919956132186,4.76270328297369,18,339,Bilbao,10,17.338709677419356
1536,6,10,3.72954775537903,4.70005037636271,19,339,Bilbao,10,17.338709677419356
1537,6,10,3.80882047021395,4.63604212941159,20,339,Bilbao,10,17.338709677419356
1538,6,10,3.88699484617626,4.57069699999893,21,339,Bilbao,10,17.338709677419356
1539,6,10,3.96404834034049,4.50403383151635,22,339,Bilbao,10,17.338709677419356
1540,6,11,3.96404834034049,4.50403383151635,1,376,Bilbao,11,11.744444444444444
1541,6,11,3.88699484617626,4.57069699999893,2,376,Bilbao,11,11.744444444444444
1542,6,11,3.80882047021395,4.63604212941159,3,376,Bilbao,11,11.744444444444444
1543,6,11,3.72954775537903,4.70005037636271,4,376,Bilbao,11,11.744444444444444
1544,6,11,3.64919956132186,4.76270328297369,5,376,Bilbao,11,11.744444444444444
1545,6,11,3.56779905782572,4.82398278220164,6,376,Bilbao,11,11.744444444444444
1546,6,11,3.48536971812542,4.88387120304931,7,376,Bilbao,11,11.744444444444444
1547,6,11,3.40193531213839,4.94235127566079,8,376,Bilbao,11,11.744444444444444
1548,6,11,3.31751989961018,4.99940613630164,9,376,Bilbao,11,11.744444444444444
1549,6,11,3.23214782317646,5.05501933222175,10,376,Bilbao,11,11.744444444444444
1550,6,11,3.14584370134339,5.10917482639987,11,376,Bilbao,11,11.744444444444444
1551,6,11,3.30313588641056,5.36463356771986,12,376,Bilbao,11,11.744444444444444
1552,6,11,3.39375521433529,5.30777029883284,13,376,Bilbao,11,11.744444444444444
1553,6,11,3.48339589459069,5.24937644311672,14,376,Bilbao,11,11.744444444444444
1554,6,11,3.57203207774531,5.18946883944383,15,376,Bilbao,11,11.744444444444444
1555,6,11,3.6596382040317,5.12806476320177,16,376,Bilbao,11,11.744444444444444
1556,6,11,3.74618901071701,5.06518192131173,17,376,Bilbao,11,11.744444444444444
1557,6,11,3.83165953938795,5.00083844712237,18,376,Bilbao,11,11.744444444444444
1558,6,11,3.91602514314798,4.93505289518084,19,376,Bilbao,11,11.744444444444444
1559,6,11,3.99926149372465,4.86784423588217,20,376,Bilbao,11,11.744444444444444
1560,6,11,4.08134458848507,4.79923184999887,21,376,Bilbao,11,11.744444444444444
1561,6,11,4.16225075735751,4.72923552309216,22,376,Bilbao,11,11.744444444444444
1562,6,12,4.16225075735751,4.72923552309216,1,413,Bilbao,12,11.213261648745519
1563,6,12,4.08134458848507,4.79923184999887,2,413,Bilbao,12,11.213261648745519
1564,6,12,3.99926149372465,4.86784423588217,3,413,Bilbao,12,11.213261648745519
1565,6,12,3.91602514314798,4.93505289518084,4,413,Bilbao,12,11.213261648745519
1566,6,12,3.83165953938795,5.00083844712237,5,413,Bilbao,12,11.213261648745519
1567,6,12,3.74618901071701,5.06518192131173,6,413,Bilbao,12,11.213261648745519
1568,6,12,3.6596382040317,5.12806476320177,7,413,Bilbao,12,11.213261648745519
1569,6,12,3.57203207774531,5.18946883944383,8,413,Bilbao,12,11.213261648745519
1570,6,12,3.48339589459069,5.24937644311672,9,413,Bilbao,12,11.213261648745519
1571,6,12,3.39375521433529,5.30777029883284,10,413,Bilbao,12,11.213261648745519
1572,6,12,3.30313588641056,5.36463356771986,11,413,Bilbao,12,11.213261648745519
1573,6,12,3.46042807147773,5.62009230903985,12,413,Bilbao,12,11.213261648745519
1574,6,12,3.55536260549411,5.56052126544393,13,413,Bilbao,12,11.213261648745519
1575,6,12,3.6492718895712,5.4993467499318,14,413,Bilbao,12,11.213261648745519
1576,6,12,3.74212884335223,5.43658640322687,15,413,Bilbao,12,11.213261648745519
1577,6,12,3.83390668993797,5.37225832335424,16,413,Bilbao,12,11.213261648745519
1578,6,12,3.92457896360829,5.30638106042181,17,413,Bilbao,12,11.213261648745519
1579,6,12,4.01411951745404,5.23897361127106,18,413,Bilbao,12,11.213261648745519
1580,6,12,4.10250253091693,5.17005541399898,19,413,Bilbao,12,11.213261648745519
1581,6,12,4.18970251723535,5.09964634235275,20,413,Bilbao,12,11.213261648745519
1582,6,12,4.27569433079389,5.02776669999882,21,413,Bilbao,12,11.213261648745519
1583,6,12,4.36045317437454,4.95443721466798,22,413,Bilbao,12,11.213261648745519
1584,7,1,1.57292185067169,2.55458741319993,1,7,Bordeaux,1,5.955555555555555
1585,7,1,1.52931621069422,2.58092850108403,2,7,Bordeaux,1,5.955555555555555
1586,7,1,1.48526956609185,2.60652533385757,3,7,Bordeaux,1,5.955555555555555
1587,7,1,1.44079461847192,2.63137053023369,4,7,Bordeaux,1,5.955555555555555
1588,7,1,1.39590419295029,2.65545692567283,5,7,Bordeaux,1,5.955555555555555
1589,7,1,1.35061123445302,2.67877757444871,6,7,Bordeaux,1,5.955555555555555
1590,7,1,1.30492880398347,2.70132575165127,7,7,Bordeaux,1,5.955555555555555
1591,7,1,1.25887007485594,2.72309495512591,8,7,Bordeaux,1,5.955555555555555
1592,7,1,1.21244832889693,2.74407890734852,9,7,Bordeaux,1,5.955555555555555
1593,7,1,1.16567695261508,2.76427155723565,10,7,Bordeaux,1,5.955555555555555
1594,7,1,1.11856943334093,2.78366708188953,11,7,Bordeaux,1,5.955555555555555
1595,7,1,1.23042637667502,3.06203379007848,12,7,Bordeaux,1,5.955555555555555
1596,7,1,1.28224464787658,3.04069871295922,13,7,Bordeaux,1,5.955555555555555
1597,7,1,1.33369316178663,3.01848679808337,14,7,Bordeaux,1,5.955555555555555
1598,7,1,1.38475708234154,2.9954044506385,15,7,Bordeaux,1,5.955555555555555
1599,7,1,1.43542168438181,2.97145832681639,16,7,Bordeaux,1,5.955555555555555
1600,7,1,1.48567235789832,2.94665533189358,17,7,Bordeaux,1,5.955555555555555
1601,7,1,1.53549461224532,2.92100261824011,18,7,Bordeaux,1,5.955555555555555
1602,7,1,1.58487408031911,2.89450758325706,19,7,Bordeaux,1,5.955555555555555
1603,7,1,1.63379652270104,2.86717786724333,20,7,Bordeaux,1,5.955555555555555
1604,7,1,1.68224783176364,2.83902135119244,21,7,Bordeaux,1,5.955555555555555
1605,7,1,1.73021403573886,2.81004615451993,22,7,Bordeaux,1,5.955555555555555
1606,7,2,1.73021403573886,2.81004615451993,1,44,Bordeaux,2,9.545634920634921
1607,7,2,1.68224783176364,2.83902135119244,2,44,Bordeaux,2,9.545634920634921
1608,7,2,1.63379652270104,2.86717786724333,3,44,Bordeaux,2,9.545634920634921
1609,7,2,1.58487408031911,2.89450758325706,4,44,Bordeaux,2,9.545634920634921
1610,7,2,1.53549461224532,2.92100261824011,5,44,Bordeaux,2,9.545634920634921
1611,7,2,1.48567235789832,2.94665533189358,6,44,Bordeaux,2,9.545634920634921
1612,7,2,1.43542168438181,2.97145832681639,7,44,Bordeaux,2,9.545634920634921
1613,7,2,1.38475708234154,2.9954044506385,8,44,Bordeaux,2,9.545634920634921
1614,7,2,1.33369316178663,3.01848679808337,9,44,Bordeaux,2,9.545634920634921
1615,7,2,1.28224464787658,3.04069871295922,10,44,Bordeaux,2,9.545634920634921
1616,7,2,1.23042637667502,3.06203379007848,11,44,Bordeaux,2,9.545634920634921
1617,7,2,1.34228332000911,3.34040049826743,12,44,Bordeaux,2,9.545634920634921
1618,7,2,1.39881234313809,3.31712586868279,13,44,Bordeaux,2,9.545634920634921
1619,7,2,1.45493799467632,3.29289468881822,14,44,Bordeaux,2,9.545634920634921
1620,7,2,1.51064408982713,3.26771394615109,15,44,Bordeaux,2,9.545634920634921
1621,7,2,1.56591456478016,3.24159090198152,16,44,Bordeaux,2,9.545634920634921
1622,7,2,1.62073348134362,3.21453308933845,17,44,Bordeaux,2,9.545634920634921
1623,7,2,1.67508503154035,3.1865483108074,18,44,Bordeaux,2,9.545634920634921
1624,7,2,1.72895354216631,3.15764463628043,19,44,Bordeaux,2,9.545634920634921
1625,7,2,1.78232347931022,3.12783040062909,20,44,Bordeaux,2,9.545634920634921
1626,7,2,1.83517945283306,3.09711420130084,21,44,Bordeaux,2,9.545634920634921
1627,7,2,1.88750622080603,3.06550489583992,22,44,Bordeaux,2,9.545634920634921
1628,7,3,1.88750622080603,3.06550489583992,1,81,Bordeaux,3,11.172043010752688
1629,7,3,1.83517945283306,3.09711420130084,2,81,Bordeaux,3,11.172043010752688
1630,7,3,1.78232347931022,3.12783040062909,3,81,Bordeaux,3,11.172043010752688
1631,7,3,1.72895354216631,3.15764463628043,4,81,Bordeaux,3,11.172043010752688
1632,7,3,1.67508503154035,3.1865483108074,5,81,Bordeaux,3,11.172043010752688
1633,7,3,1.62073348134362,3.21453308933845,6,81,Bordeaux,3,11.172043010752688
1634,7,3,1.56591456478016,3.24159090198152,7,81,Bordeaux,3,11.172043010752688
1635,7,3,1.51064408982713,3.26771394615109,8,81,Bordeaux,3,11.172043010752688
1636,7,3,1.45493799467632,3.29289468881822,9,81,Bordeaux,3,11.172043010752688
1637,7,3,1.39881234313809,3.31712586868279,10,81,Bordeaux,3,11.172043010752688
1638,7,3,1.34228332000911,3.34040049826743,11,81,Bordeaux,3,11.172043010752688
1639,7,3,1.4541402633432,3.61876720645639,12,81,Bordeaux,3,11.172043010752688
1640,7,3,1.5153800383996,3.59355302440635,13,81,Bordeaux,3,11.172043010752688
1641,7,3,1.57618282756601,3.56730257955307,14,81,Bordeaux,3,11.172043010752688
1642,7,3,1.63653109731272,3.54002344166369,15,81,Bordeaux,3,11.172043010752688
1643,7,3,1.69640744517851,3.51172347714665,16,81,Bordeaux,3,11.172043010752688
1644,7,3,1.75579460478893,3.48241084678332,17,81,Bordeaux,3,11.172043010752688
